,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,-0.01790578,-0.7958244,0.58099836,0.93252677,-0.3402614,-0.07806049,-1.5023246,-1.4699814,0.37711635,0.19911942,0.92462456,0.08453475,-0.31453288,0.8936188,0.2579181,-0.21628483
1,0.37359524,-0.056164887,-0.34720424,0.68029106,-0.22309723,0.06599989,1.2502259,-0.49963334,-0.008301839,-0.19682717,-0.68142056,0.73651934,0.05024547,0.5150671,-0.04173933,0.15468018
2,0.8873198,0.0025943741,-0.36737555,-0.074063525,-0.5853084,-0.21284416,0.7558314,0.462209,0.5913887,0.31071278,-0.18546966,-0.28603166,0.0081894025,-0.779051,-0.37894717,-0.3161294
3,-0.4632318,-0.024103038,0.4526507,-0.052964307,0.69433296,-0.22745952,0.17355311,-0.11530915,0.52037615,-0.7592833,1.5842072,1.1242399,0.7343304,0.67563623,-0.9696381,0.11606416
4,0.23738216,0.36448646,-0.22077522,-0.61537457,0.32210565,-0.41907567,0.45208135,0.19570282,0.08346484,-0.9482226,0.5453705,1.1901721,0.36529192,0.17817086,-0.4844712,-0.06763985
5,-0.0631735,0.30724382,0.19045705,-0.30210924,-0.021167547,-0.48379314,0.33500952,-1.0239027,0.8791363,-0.06905631,0.96948063,-0.19064172,0.16337541,0.23335993,-0.13463959,-0.6326839
6,0.76237595,-0.8585487,0.10517301,-0.28261274,-0.47040653,-0.1387465,0.059886783,-0.11415515,0.22405279,-0.9623067,1.0298162,0.20739248,0.2784528,0.4905296,0.62524194,0.89314127
7,1.2332196,-0.28303474,-0.06191177,-0.22114073,-1.038574,-1.1064814,-0.2487247,1.1432325,0.17040274,0.9167808,-0.46745306,0.38186026,0.3259898,0.23496641,-1.4022655,0.16619025
8,0.95170105,-0.28508645,-0.3973942,0.20327522,-0.4284702,-0.1430895,0.39273372,0.43118662,0.17756501,-0.54536843,-0.1490807,0.44955862,-0.43874952,-0.21291262,-0.064473234,0.14932317
9,0.79198366,0.25287962,-0.07056376,-0.4709462,-1.0302501,-0.09842722,-0.7117231,0.46633077,0.6789148,-0.17326087,-0.15652251,0.22262186,0.47611424,-0.034737825,-1.1645494,0.33244038
10,-0.45248282,0.49463862,-0.058273494,0.34395093,0.011270694,0.018121839,1.4531595,0.026551016,-0.26973796,-0.5495032,0.034260727,-0.19277896,-0.8538009,0.5939579,-0.38344136,-0.5583455
11,-1.0351709,-1.2932572,-0.6303646,0.6901948,0.4645638,0.1077323,0.19214493,-0.9319302,-0.3194373,0.61924535,-0.2740308,-0.97763413,-0.25291494,-0.092738464,0.42752615,0.070577465
12,0.21748419,-0.38354236,-0.007905843,-0.11509591,0.3569906,-0.20552525,-0.16692892,0.66128486,0.9808228,-0.45299962,0.23780715,0.5291113,0.6889058,0.19226266,-0.88583374,-0.0021039583
13,0.59366316,-0.35830906,-0.6353819,0.18695416,-1.4256412,0.14502363,-0.08442027,-0.7804696,-0.06667407,-0.80724895,0.66127515,-0.1944002,-0.5405403,0.47434652,0.45652348,-0.51875484
14,0.06742613,-0.7911132,-0.38915303,0.43929964,0.45616958,0.45940602,0.24819875,-0.8720752,-0.6082735,0.07165867,0.47908348,-0.16841461,0.5650907,0.53946614,-0.60603464,0.2561124
15,0.42288536,0.3643149,-0.22904155,1.2186021,-0.09102457,0.48036525,0.45156983,-0.031059561,0.37363482,-0.61534685,-0.15247487,0.7394174,-0.014675707,-0.5123602,0.4270954,-0.78712636
16,0.14006814,-0.15656962,-1.2120249,-1.7322124,-0.85032946,0.28276718,-0.21352026,1.0574528,-0.07083495,0.07061234,-0.030381411,0.6089484,0.47259584,0.2587924,0.94434375,-0.31069607
17,0.2493221,-0.7789728,-2.0071115,-1.6437182,-0.8198226,0.19312629,-0.010275058,1.6042913,-0.29000664,0.12949255,0.13951573,0.5415067,0.40488157,0.398484,0.1099593,0.16945182
18,0.33727837,-0.27102923,0.027460113,-0.27305973,-0.18386623,0.55254877,-0.6754209,0.7543032,-0.3638254,0.18716976,1.2032012,-0.43430763,0.03417971,0.7679523,-1.478232,0.101794496
